Tempo mm. 1-4	Aria 1	Variation 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16a	16b	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Aria 2	
Pulse	quarter note	quarter note	quarter note	dotted quarter note	dotted quarter note	quarter note	dotted quarter note	dotted quarter note	quarter note	quarter note	half note	dotted quarter note	quarter note	quarter note	quarter note	quarter note	half note	dotted quarter note	quarter note	half note	eighth note	quarter note	quarter note	half note	quarter note	dotted quarter note	eighth note	quarter note	dotted quarter note	quarter note	quarter note	quarter note	quarter note	
Rudolf Serkin 1928	66.4	124.7	100.7	54.5	86.9	174.0	- - - 	- - - 	- - - 	70.3	107.6	203.8	84.2	58.6	122.6	35.6	46.2	90.2	138.2	113.8	201.5	131.8	54.0	134.0	128.7	52.6	47.3	109.4	91.7	100.9	107.8	89.0	58.3	Rudolf Serkin 1928
Sultan 1959	51.4	107.5	69.7	56.1	68.4	129.2	40.9	63.8	112.6	57.7	72.4	151.1	63.3	53.0	100.1	29.7	31.7	68.3	111.9	75.9	142.0	112.3	48.9	106.6	97.8	76.3	47.0	95.6	69.7	78.2	91.5	86.3	46.4	Sultan 1959
Marlowe 1962	41.5	75.1	71.2	48.3	50.8	118.9	40.3	52.0	95.2	44.4	72.7	120.9	70.1	30.9	81.5	23.2	28.2	60.1	102.7	86.0	98.3	83.8	29.7	77.9	83.2	59.5	37.6	83.9	63.0	77.8	79.6	80.2	40.3	Marlowe 1962
Gát 1963 	49.5	109.0	61.8	42.9	43.8	137.7	58.2	65.5	114.7	63.3	87.4	156.6	66.6	38.1	87.1	37.5	28.7	62.1	110.5	102.9	156.1	99.0	43.0	91.2	89.7	64.7	64.6	103.8	72.5	93.2	101.1	82.1	57.6	Gát 1963 
Leonhardt 1965	46.4	65.4	72.8	62.8	60.2	99.9	38.8	66.8	72.8	61.2	77.2	97.8	56.2	37.5	76.0	25.9	30.7	63.5	94.5	89.5	112.2	88.5	31.2	89.3	75.7	59.4	45.5	88.9	59.5	66.3	79.9	65.2	43.5	Leonhardt 1965
Picht-Axenfeld 1966	46.5	90.2	71.6	45.7	48.4	102.9	36.7	65.4	91.9	62.1	77.7	121.4	63.9	38.6	80.8	31.2	32.0	64.3	90.1	80.8	137.3	86.4	48.8	79.1	83.9	64.7	49.0	76.4	59.2	76.7	78.2	67.6	46.4	Picht-Axenfeld 1966
Rosen 1967	51.3	106.3	80.6	43.0	51.6	129.8	52.8	65.2	95.9	59.6	80.5	160.9	59.3	50.4	94.3	33.5	27.2	65.4	114.5	82.7	169.3	103.6	52.5	87.0	97.2	54.9	51.1	115.7	67.8	102.1	96.9	74.0	46.1	Rosen 1967
Kempff 1969	80.2	93.9	90.3	53.9	65.3	114.5	56.3	54.4	87.9	70.5	84.9	140.7	50.1	54.6	83.4	29.0	31.5	63.9	83.2	96.1	155.8	80.0	42.3	97.4	85.7	60.6	62.4	81.2	75.3	79.7	81.8	65.9	81.9	Kempff 1969
Richter 1970	51.6	103.8	90.0	56.2	57.1	136.0	47.0	51.9	93.6	72.4	79.6	105.0	81.7	42.7	84.3	25.9	32.7	71.3	101.2	74.6	99.1	109.6	29.9	74.1	77.3	85.8	31.4	87.6	63.4	73.4	71.8	64.6	56.7	Richter 1970
Newman 1971	57.9	85.4	75.1	56.8	56.0	106.5	47.4	62.7	84.1	68.8	84.3	119.1	70.8	64.9	87.7	30.3	34.2	58.6	85.8	85.5	125.6	96.2	52.3	87.6	82.4	68.2	56.8	79.1	70.6	78.6	86.9	82.3	61.5	Newman 1971
Hayden 1976	55.8	132.7	103.4	69.3	76.2	169.6	51.1	86.4	120.6	70.6	101.8	142.3	93.7	53.3	98.1	31.6	41.1	75.6	118.3	118.6	156.6	114.4	47.9	104.6	92.7	92.8	62.4	96.5	89.4	92.1	105.3	95.3	58.8	Hayden 1976
Takahashi 1976	48.4	78.3	60.7	57.9	57.7	128.3	32.0	65.9	93.6	50.5	76.0	138.2	85.9	26.6	107.4	22.7	38.8	59.0	98.1	95.1	87.9	100.1	34.4	110.9	88.9	67.2	37.4	103.0	61.8	81.6	104.6	83.5	38.3	Takahashi 1976
Gibbons 1979	61.4	119.3	72.2	67.7	60.4	120.5	42.6	37.8	119.0	87.0	86.7	157.3	73.0	39.6	101.2	29.2	43.4	61.7	90.9	87.9	207.5	120.9	47.2	105.0	107.1	103.9	65.0	100.0	68.3	88.0	93.6	82.1	62.5	Gibbons 1979
Nikolayeva 1979	57.6	101.9	89.2	59.7	59.7	128.0	44.4	80.3	97.9	69.1	82.1	118.8	75.2	39.6	82.3	32.1	41.7	68.5	95.0	96.8	166.0	87.1	39.5	100.1	87.1	86.5	50.6	86.9	69.0	74.1	85.7	75.0	56.2	Nikolayeva 1979
Pinnock 1980	43.4	92.4	82.3	71.4	59.7	119.0	43.7	81.6	108.1	46.8	81.9	128.1	43.5	43.8	99.5	28.2	39.5	65.6	107.4	89.7	140.6	106.3	29.4	90.1	91.0	66.6	46.1	88.5	73.3	93.3	84.7	59.2	40.7	Pinnock 1980
Weissenberg 1981	44.2	122.7	71.5	68.2	72.6	142.5	45.7	94.5	122.5	57.6	86.6	110.9	73.3	28.2	96.4	28.2	31.0	66.1	127.9	98.4	107.0	103.4	40.4	101.0	108.4	74.5	50.2	91.9	73.3	98.5	82.6	60.1	39.3	Weissenberg 1981
Gould 1981	35.4	82.0	78.7	61.9	57.4	163.8	74.8	57.0	111.0	97.0	94.3	145.8	92.3	42.2	96.0	21.9	30.4	67.2	109.2	94.2	89.4	118.7	46.5	90.8	103.4	89.6	35.6	111.0	72.0	90.7	93.9	73.4	29.1	Gould 1981
Schiff 1982	61.2	100.6	93.4	68.0	63.4	140.2	52.9	82.8	120.1	97.4	90.9	140.4	104.0	59.0	105.1	38.2	40.5	70.1	102.7	99.4	143.4	116.8	61.5	82.4	92.2	93.3	68.4	93.3	75.4	77.7	98.8	100.5	60.7	Schiff 1982
Sokolov 1982 	58.8	117.0	65.6	41.1	62.0	148.3	40.9	51.6	117.2	70.4	68.7	81.4	87.1	48.4	98.0	43.2	35.1	42.8	114.6	66.5	101.3	121.5	30.6	66.4	103.3	58.1	37.3	93.6	64.7	89.7	83.0	72.7	58.9	Sokolov 1982 
Chen 1985	67.2	116.5	72.8	72.8	43.6	128.5	41.0	82.0	109.8	64.5	75.9	107.6	99.1	42.5	91.3	28.1	31.2	76.0	90.2	79.2	166.6	104.3	51.3	91.0	82.9	73.4	46.4	94.1	67.9	79.4	79.7	60.7	60.5	Chen 1985
Gilbert 1986	49.1	88.1	75.5	64.0	61.5	111.8	38.1	71.8	101.6	61.4	81.0	106.9	54.8	30.2	88.1	32.5	39.4	64.8	93.8	92.7	139.8	89.0	48.7	89.4	85.3	70.5	52.2	84.1	61.1	79.3	77.8	74.9	47.0	Gilbert 1986
Tipo 1986 	57.0	104.5	69.9	62.7	55.2	146.3	56.1	55.3	111.3	58.7	88.2	112.6	100.2	34.3	96.1	31.8	30.6	77.3	128.3	73.7	121.0	119.7	55.5	86.1	103.7	62.9	47.0	100.7	72.6	82.4	68.3	67.5	53.5	Tipo 1986 
Koopman 1987	41.6	104.5	86.5	63.1	57.6	113.7	45.4	77.8	83.7	66.4	70.4	122.5	59.1	42.5	88.3	31.4	32.9	68.8	81.3	94.4	129.5	83.0	50.3	84.0	77.9	74.8	51.9	76.0	63.2	74.2	81.2	68.6	39.2	Koopman 1987
Jarrett 1989	40.3	78.5	59.4	49.6	52.6	95.5	39.9	59.2	86.6	57.0	64.4	102.8	58.9	36.4	76.8	31.7	39.3	52.4	83.8	79.0	130.2	85.5	45.3	82.3	85.7	61.3	55.3	78.6	50.4	76.7	79.3	65.3	43.0	Jarrett 1989
Asperen 1991	39.2	92.5	73.4	62.6	54.6	112.9	33.5	76.0	97.0	43.2	77.7	116.5	41.1	46.9	80.6	24.5	35.6	67.7	90.4	73.0	170.7	78.5	36.7	75.8	60.1	52.0	50.3	73.1	49.6	64.8	88.4	63.2	36.2	Asperen 1991
Feltsman 1991	41.0	110.3	94.8	64.5	63.5	149.0	50.2	66.4	106.6	77.8	80.8	161.2	96.0	39.9	107.2	26.4	29.2	70.7	83.4	90.8	193.8	95.9	36.4	84.4	95.4	84.9	42.8	94.7	73.8	95.3	86.8	71.3	40.1	Feltsman 1991
Barenboim 1992	48.8	98.4	64.5	47.5	55.9	133.6	44.2	76.4	86.7	71.1	61.2	124.1	90.2	56.8	69.4	26.7	27.7	65.3	110.1	95.9	114.2	90.6	48.0	90.5	76.6	96.7	44.4	105.7	80.6	86.2	78.6	73.6	44.6	Barenboim 1992
Nikolayeva 1992	57.5	103.4	89.7	58.5	53.8	127.6	47.2	54.2	90.6	71.0	71.6	96.6	79.2	41.3	77.7	24.9	29.5	69.9	98.9	70.5	101.4	102.5	31.3	73.2	75.6	86.7	26.1	78.3	58.1	67.7	64.3	57.7	53.9	Nikolayeva 1992
Verlet 1992	78.0	87.4	70.0	47.4	48.8	106.5	31.5	61.1	89.2	63.1	76.5	128.7	70.7	45.4	95.7	32.5	36.0	60.3	92.7	71.5	137.7	82.7	45.3	71.3	77.8	60.3	68.3	82.5	56.4	81.2	72.9	65.4	66.3	Verlet 1992
Gavrilov 1993	41.2	114.8	79.9	73.6	61.9	168.2	78.9	77.3	122.0	77.7	87.6	178.4	93.3	75.7	109.0	23.2	35.5	68.9	116.5	103.6	214.5	136.1	36.6	97.6	102.8	96.8	33.8	113.7	83.7	121.9	123.7	81.6	41.2	Gavrilov 1993
